DATE,NUM_DAILY_DIED,MA7_NUM_DAILY_DIED,NUM_DAILY_DIED_per_100kpop,MA7_NUM_DAILY_DIED_per_100kpop,REGION_L,REGION_S,REGION_PSGC
2020-04-25,15.0,15.0,0.10696366450546596,0.10696366450546596,Metropolitan Manila,NCR,PH130000000
2020-04-26,7.0,11.0,0.04991637676921745,0.0784400206373417,Metropolitan Manila,NCR,PH130000000
2020-04-27,6.0,9.333333333333334,0.04278546580218639,0.06655516902562326,Metropolitan Manila,NCR,PH130000000
2020-04-28,14.0,10.5,0.0998327535384349,0.07487456515382618,Metropolitan Manila,NCR,PH130000000
2020-04-29,26.0,13.6,0.18540368514280767,0.09698038915162248,Metropolitan Manila,NCR,PH130000000
2020-04-30,8.0,12.666666666666666,0.057047287736248516,0.09032487224906016,Metropolitan Manila,NCR,PH130000000
2020-05-01,9.0,12.142857142857142,0.06417819870327958,0.0865896331710915,Metropolitan Manila,NCR,PH130000000
2020-05-02,19.0,12.714285714285714,0.13548730837359022,0.09066443943796638,Metropolitan Manila,NCR,PH130000000
2020-05-03,2.0,12.0,0.014261821934062129,0.08557093160437278,Metropolitan Manila,NCR,PH130000000
2020-05-04,7.0,12.142857142857142,0.04991637676921745,0.0865896331710915,Metropolitan Manila,NCR,PH130000000
2020-05-05,16.0,12.428571428571427,0.11409457547249703,0.08862703630452895,Metropolitan Manila,NCR,PH130000000
2020-05-06,15.0,10.857142857142856,0.10696366450546596,0.077421319070623,Metropolitan Manila,NCR,PH130000000
2020-05-07,25.0,13.285714285714285,0.1782727741757766,0.0947392457048413,Metropolitan Manila,NCR,PH130000000
2020-05-08,8.0,13.142857142857142,0.057047287736248516,0.09372054413812256,Metropolitan Manila,NCR,PH130000000
2020-05-09,6.0,11.285714285714285,0.04278546580218639,0.08047742377077917,Metropolitan Manila,NCR,PH130000000
2020-05-10,15.0,13.142857142857142,0.10696366450546596,0.09372054413812256,Metropolitan Manila,NCR,PH130000000
2020-05-11,5.0,12.857142857142856,0.035654554835155325,0.09168314100468512,Metropolitan Manila,NCR,PH130000000
2020-05-12,13.0,12.428571428571427,0.09270184257140383,0.08862703630452895,Metropolitan Manila,NCR,PH130000000
2020-05-13,19.0,13.0,0.13548730837359022,0.09270184257140383,Metropolitan Manila,NCR,PH130000000
2020-05-14,15.0,11.571428571428571,0.10696366450546596,0.08251482690421659,Metropolitan Manila,NCR,PH130000000
2020-05-15,14.0,12.428571428571427,0.0998327535384349,0.08862703630452894,Metropolitan Manila,NCR,PH130000000
2020-05-16,9.0,12.857142857142856,0.06417819870327958,0.09168314100468511,Metropolitan Manila,NCR,PH130000000
2020-05-17,7.0,11.714285714285714,0.04991637676921745,0.08353352847093531,Metropolitan Manila,NCR,PH130000000
2020-05-18,5.0,11.714285714285714,0.035654554835155325,0.08353352847093531,Metropolitan Manila,NCR,PH130000000
2020-05-19,5.0,10.571428571428571,0.035654554835155325,0.07538391593718553,Metropolitan Manila,NCR,PH130000000
2020-05-20,4.0,8.428571428571429,0.028523643868124258,0.06010339243640468,Metropolitan Manila,NCR,PH130000000
2020-05-21,4.0,6.857142857142857,0.028523643868124258,0.04889767520249872,Metropolitan Manila,NCR,PH130000000
2020-05-22,8.0,6.0,0.057047287736248516,0.042785465802186375,Metropolitan Manila,NCR,PH130000000
2020-05-23,6.0,5.571428571428571,0.04278546580218639,0.03972936110203021,Metropolitan Manila,NCR,PH130000000
