DATE,NUM_SEVERE,NUM_DAILY_SEVERE,MA7_NUM_SEVERE,MA7_NUM_DAILY_SEVERE,NUM_SEVERE_per_100kpop,NUM_DAILY_SEVERE_per_100kpop,MA7_NUM_SEVERE_per_100kpop,MA7_NUM_DAILY_SEVERE_per_100kpop,REGION_L,REGION_S,REGION_PSGC
2020-04-25,39.0,0.0,39.0,0.0,0.2781055277142115,0.0,0.2781055277142115,0.0,Metropolitan Manila,NCR,PH130000000
2020-04-26,35.0,-4.0,37.0,-2.0,0.24958188384608726,-0.028523643868124258,0.2638437057801494,-0.014261821934062129,Metropolitan Manila,NCR,PH130000000
2020-04-27,33.0,-2.0,35.666666666666664,-2.0,0.23532006191202512,-0.014261821934062129,0.25433582449077463,-0.014261821934062129,Metropolitan Manila,NCR,PH130000000
2020-04-28,35.0,2.0,35.5,-1.0,0.24958188384608726,0.014261821934062129,0.25314733932960276,-0.007130910967031065,Metropolitan Manila,NCR,PH130000000
2020-04-29,35.0,0.0,35.4,-0.8,0.24958188384608726,0.0,0.25243424823289967,-0.005704728773624853,Metropolitan Manila,NCR,PH130000000
2020-04-30,39.0,4.0,36.0,0.0,0.2781055277142115,0.028523643868124258,0.2567127948131183,-5.782411586589357e-19,Metropolitan Manila,NCR,PH130000000
2020-05-01,37.0,-2.0,36.142857142857146,-0.2857142857142857,0.2638437057801494,-0.014261821934062129,0.257731496379837,-0.0020374031334374474,Metropolitan Manila,NCR,PH130000000
2020-05-02,38.0,1.0,36.0,-0.14285714285714285,0.27097461674718043,0.0071309109670310645,0.25671279481311826,-0.001018701566718724,Metropolitan Manila,NCR,PH130000000
2020-05-03,37.0,-1.0,36.285714285714285,0.2857142857142857,0.2638437057801494,-0.0071309109670310645,0.25875019794655574,0.0020374031334374466,Metropolitan Manila,NCR,PH130000000
2020-05-04,37.0,0.0,36.857142857142854,0.5714285714285714,0.2638437057801494,0.0,0.26282500421343064,0.004074806266874893,Metropolitan Manila,NCR,PH130000000
2020-05-05,37.0,0.0,37.14285714285714,0.2857142857142857,0.2638437057801494,0.0,0.2648624073468681,0.0020374031334374466,Metropolitan Manila,NCR,PH130000000
2020-05-06,35.0,-2.0,37.14285714285714,0.0,0.24958188384608726,-0.014261821934062129,0.2648624073468681,-4.956352788505163e-19,Metropolitan Manila,NCR,PH130000000
2020-05-07,34.0,-1.0,36.42857142857142,-0.7142857142857142,0.2424509728790562,-0.0071309109670310645,0.2597688995132745,-0.0050935078335936175,Metropolitan Manila,NCR,PH130000000
2020-05-08,33.0,-1.0,35.857142857142854,-0.5714285714285714,0.23532006191202512,-0.0071309109670310645,0.2556940932463996,-0.004074806266874894,Metropolitan Manila,NCR,PH130000000
